user_id,click_top20,like_top20
1,"382,135,421,284,168,41,105,117,129,172,219,85,274,128,125,65,247,670,154,106","382,135,168,284,421,41,117,105,129,172,219,85,274,128,125,65,106,247,670,245"
2,"24,52,670,245,247,435,1107,421,429,1110,260,42,281,211,28,530,40,195,438,6","24,52,670,245,247,435,1110,260,421,1107,42,429,211,281,28,6,45,39,40,530"
3,"133,98,23,218,93,61,63,152,211,49,712,27,715,79,41,274,172,85,161,670","211,712,218,133,98,152,63,23,93,61,49,715,79,27,588,161,214,85,172,41"
4,"218,670,715,98,744,133,23,93,435,6,663,247,61,190,129,63,211,52,152,187","218,670,715,98,744,133,435,93,23,663,6,247,61,190,63,211,129,152,278,187"
5,"525,510,500,455,436,86,506,516,471,24,135,832,530,733,789,445,791,505,507,93","525,510,500,455,516,436,86,506,471,24,135,733,832,530,789,791,543,507,1201,1233"
6,"10,154,609,28,172,610,42,51,548,383,117,27,730,1257,9,397,284,6,438,370","10,172,28,154,609,42,117,548,383,27,610,51,730,6,1257,284,397,438,219,23"
7,"61,65,218,128,45,161,211,39,278,715,129,377,247,539,187,433,6,52,210,245","61,65,218,161,45,128,278,211,715,39,377,433,539,187,129,156,210,247,214,6"
8,"327,306,530,260,168,243,39,129,1107,247,318,124,152,906,983,1529,172,526,69,185","327,306,260,530,168,243,39,129,318,247,1107,152,906,124,983,69,172,337,539,377"
9,"185,245,135,306,284,69,93,382,172,510,500,114,98,670,190,274,1,6,436,128","185,135,245,69,306,93,284,172,382,500,114,98,510,190,274,734,670,6,128,377"
10,"11,742,20,219,27,382,169,386,799,515,42,85,45,613,677,125,207,1047,38,47","11,742,20,219,27,382,169,386,799,515,677,613,42,85,45,1047,125,207,38,47"
11,"506,382,222,177,245,284,316,24,41,169,471,516,317,247,42,28,351,40,438,49","382,245,222,177,506,284,41,169,24,316,247,42,317,28,516,274,49,471,40,351"
12,"247,52,105,24,185,260,49,135,39,245,125,45,168,93,68,85,6,421,65,69","247,52,105,24,185,49,260,125,45,39,135,245,93,6,65,85,98,168,744,68"
13,"211,218,715,265,214,210,433,712,196,23,215,897,539,1019,206,776,670,749,744,134","218,211,715,265,210,214,712,23,433,196,539,670,215,897,172,39,744,41,247,1019"
14,"734,238,532,316,5,500,51,353,516,244,789,274,791,4,98,219,114,133,525,247","734,316,500,532,238,516,5,51,244,353,789,274,791,4,525,247,98,219,133,93"
15,"28,265,284,59,438,5,327,41,316,52,516,98,539,40,61,222,382,734,439,196","28,265,284,59,5,438,41,327,539,98,61,52,316,516,40,734,196,222,382,439"
16,"924,532,867,789,1524,518,332,861,882,552,238,4,520,1847,264,51,838,1692,791,244","789,532,332,867,51,924,244,238,1524,518,264,791,4,542,882,861,34,1692,333,520"
17,"247,670,52,214,435,128,61,190,185,337,318,44,274,6,219,211,85,1233,1159,161","247,670,214,52,435,128,61,190,185,337,318,44,274,6,219,211,1233,85,1159,322"
18,"529,739,620,120,134,647,606,587,809,278,644,645,631,763,114,196,841,433,133,513","529,739,620,134,120,647,606,587,809,278,644,114,645,763,631,133,196,433,513,79"
19,"114,63,98,161,734,156,87,744,604,377,663,776,739,1019,741,759,768,323,606,134","114,63,98,161,734,156,87,744,663,604,377,739,776,1019,759,741,768,606,559,738"
20,"114,190,61,39,63,65,125,45,734,129,128,377,278,161,218,245,79,52,6,172","114,61,190,63,39,65,278,377,734,45,125,161,128,129,218,539,79,6,245,265"
21,"513,734,278,61,238,190,51,114,274,87,133,353,98,539,739,69,161,27,45,332","513,278,734,61,238,190,114,133,274,87,98,161,63,156,529,51,539,739,353,791"
22,"515,712,41,738,172,169,244,734,317,187,278,809,152,146,5,128,789,756,45,49","515,712,41,169,738,172,244,317,734,809,146,187,278,789,165,152,5,34,756,353"
23,"214,274,219,65,23,644,128,85,6,16,207,93,187,49,211,244,39,516,1229,152","214,274,65,644,23,219,128,6,85,93,16,187,211,49,207,39,152,1229,244,756"
24,"117,172,8,41,382,135,222,42,177,383,207,291,712,128,21,125,27,185,65,247","117,172,8,382,41,222,42,383,135,177,21,291,207,76,128,712,535,506,185,176"
25,"278,513,734,63,156,98,539,218,93,59,377,715,210,152,39,606,27,6,741,41","278,513,63,734,98,156,93,539,218,59,377,715,152,210,39,27,6,606,41,741"
26,"90,515,165,732,401,872,557,383,149,372,746,1195,76,177,648,770,370,419,317,1347","90,515,165,732,872,401,557,383,372,149,746,76,1195,177,770,648,1347,370,419,317"
27,"10,612,421,663,200,767,1,322,97,85,601,435,23,16,6,8,128,210,125,214","421,10,767,612,322,200,1,663,435,85,601,97,106,16,23,175,720,6,771,8"
28,"24,421,670,85,105,245,382,42,27,23,435,322,49,68,274,663,284,41,93,16","24,421,670,85,105,382,245,42,27,23,435,322,274,49,663,68,16,219,744,41"
29,"663,588,49,97,27,61,23,6,58,247,587,1019,161,547,665,129,216,52,612,529","663,588,61,97,49,27,1019,587,161,23,6,665,529,647,58,247,612,216,129,377"
30,"506,135,316,306,510,284,1,281,318,382,525,436,500,86,373,4,530,670,1107,69","135,284,1,316,382,306,318,281,93,670,506,69,510,117,86,28,525,172,500,85"
31,"176,8,184,634,178,20,757,16,46,601,393,756,1299,425,798,169,10,386,219,199","176,8,184,178,634,20,16,757,601,393,756,46,1299,425,798,169,10,386,219,199"
32,"24,168,245,185,135,1,382,68,284,670,93,117,316,281,506,85,69,172,306,421","24,168,245,185,135,1,68,382,284,506,281,670,316,117,306,421,93,510,28,85"
33,"744,612,247,1110,154,211,1071,767,124,88,547,719,49,6,112,717,1099,598,1540,93","744,612,247,1110,154,211,1071,124,767,88,6,49,547,719,112,93,717,1099,598,1540"
34,"20,336,117,21,178,34,207,176,742,42,383,199,219,515,142,5,90,185,332,51","20,336,117,21,178,34,207,176,742,383,42,515,199,219,142,90,5,332,51,1211"
35,"48,662,154,1,1196,720,237,566,771,1530,1254,112,200,412,393,719,88,339,160,42","48,662,154,1,1196,720,566,237,771,200,42,393,1530,88,112,1254,412,719,1546,548"
36,"128,211,245,185,187,135,168,260,317,670,588,756,68,157,165,8,178,222,435,515","128,211,245,185,187,135,168,260,317,670,588,756,157,165,8,68,178,515,222,435"
37,"382,41,34,51,5,284,27,391,219,105,11,274,39,10,23,168,24,93,129,190","382,41,34,51,391,5,284,11,27,219,10,105,39,168,23,274,24,93,190,129"
38,"1257,397,165,691,90,40,370,439,705,284,21,34,1527,558,391,177,382,1366,372,150","1257,397,165,691,90,370,40,439,705,21,284,1527,177,1366,372,34,558,382,732,577"
39,"238,500,4,244,44,39,264,51,513,534,306,520,518,832,351,1201,1713,135,350,950","238,500,244,4,39,51,44,513,264,306,534,351,1201,135,520,832,518,93,61,133"
40,"587,749,721,217,715,97,218,529,210,214,729,140,113,663,212,211,200,642,45,1019","587,749,721,217,97,715,218,140,113,214,210,529,729,663,212,211,200,642,45,1019"
41,"5,734,41,219,274,34,114,190,51,39,27,391,539,172,133,278,284,105,98,23","41,5,114,190,219,27,172,274,39,734,133,34,51,98,105,23,284,539,6,49"
42,"776,588,1076,741,721,513,93,219,217,99,203,189,118,756,49,1675,559,604,58,274","776,588,741,1076,721,99,513,217,203,189,93,1675,219,118,756,559,58,49,604,386"
43,"5,51,41,105,382,117,734,353,516,274,284,244,69,168,129,532,222,500,24,93","5,51,41,105,353,382,734,516,117,244,274,69,532,284,500,4,34,318,168,222"
44,"210,715,744,16,214,85,51,5,93,34,738,759,647,105,49,995,172,539,612,11","210,715,744,16,214,51,5,85,34,738,93,759,647,11,105,995,391,49,172,539"
45,"397,324,393,401,804,770,130,372,506,872,336,1043,1299,833,522,1039,184,799,8,20","397,324,401,393,804,130,770,506,372,336,872,609,522,833,799,172,1043,1039,20,1299"
46,"279,1015,375,289,264,1230,483,269,1900,1006,326,360,585,2379,878,1329,364,1994,1209,295","279,1015,1230,289,483,1900,269,375,264,2379,360,1329,878,1994,585,1006,1209,2377,326,1904"
47,"247,245,68,421,260,105,42,85,135,106,49,382,128,117,39,125,27,6,10,23","247,245,68,421,260,105,42,135,85,106,49,382,128,117,39,125,27,6,10,23"
48,"712,568,657,425,897,714,438,1257,859,210,164,169,146,92,1042,892,609,677,52,42","712,568,657,897,714,425,210,146,169,438,164,1042,892,52,1257,859,92,677,42,97"
49,"278,161,93,218,734,45,433,128,513,87,79,187,210,377,39,214,27,776,6,542","161,278,93,218,45,433,79,128,734,187,210,87,377,513,214,39,27,6,23,776"
50,"4,407,832,534,1713,306,909,518,69,436,546,542,502,940,861,501,455,525,350,179","4,407,832,534,1713,69,306,518,909,542,436,546,940,861,502,455,525,350,318,920"
51,"5,734,69,185,353,789,39,532,4,318,500,516,244,274,542,284,172,791,93,219","5,185,353,69,734,532,789,4,39,500,318,516,244,274,284,542,172,791,525,219"
52,"265,91,897,1146,156,844,241,320,126,94,134,167,529,133,157,87,211,138,606,542","265,91,897,156,1146,844,241,320,126,134,167,529,133,87,94,211,606,157,138,539"
53,"264,93,87,1115,911,1132,128,1156,510,360,86,113,24,647,620,1809,1723,1005,120,652","264,93,87,1115,911,1132,128,1156,113,360,510,647,86,620,24,1723,1809,1005,120,652"
54,"634,176,798,757,184,8,16,612,1196,421,85,548,10,1002,1349,563,662,322,14,435","634,176,798,8,184,757,16,612,85,421,548,1196,10,1002,1349,563,662,14,744,435"
55,"52,247,49,105,135,284,28,172,670,114,1,382,133,128,125,117,65,152,185,27","52,49,247,105,28,284,135,172,114,382,133,670,1,65,125,128,152,27,185,117"
